id,text,label
A1KHEP4P4FUTDJ_7151,I saw this movie again on tv and decided to purchase it because I really like it.  Kevin Bacon is at his best.,5
A1KHCK72Z8KTNZ_18488,"Not the best movie Ford has been in but he is good in it, Not Bad.",3
A2XNKN79EL3MXJ_13431,"Everyone in the cast gets their moment to shine... a good blend of old and new, action and comedy.  This is the Star Trek that should have been made first.",4
A3M5A4BP513G37_4065,An inspiring true story about coping with a handicap. Another plus for this story is teaching those of us who aren't handicapped how much we can do to help others by accepting them. How brave they are!,4
A1WUBQX476A9XL_11931,Foolish nonsense that not even Kerr and Niven could salvage.  I had heard about it as a classic all my life -- classic rubbish.  Otto Preminger at his worst.,1
AP2XEOK2G8SF0_3517,Another fantastic performance by Johnny Depp. This is definately a true drug story and its amazing to see the rise and plummet of an adorable man! You have got to watch this movie!,5
A3UW07NS4BK3UY_7398,A great classic movie !  Movies like this are not made anymore. This will be a keeper for sure and I will watch it many times.,5
A2P7ADFAPCKUXH_18776,"Could have been a very entertaining film but both Michael Douglas and, especially, Melanie Griffin should have been barred from making movies for several years after this effort. Bad on so many levels.",1
A1THSBWV04YAIK_21501,"This movie didn't come anywhere near the quality of Zane Grey's book, so I was very disappointed.  I hope that the other movies made from his books are better than this one.",1
A3GZAR2QN62JWY_12478,Didn't like this Burt Reynolds flick as much as his older ones. His career was winding down and his voice was kind of soft and not as  manly as in his previous movies. Bandit was his best flicks ever.,3
A1KD8NJPZ01R37_18316,"The acting is so completely bad, it's actually a tone for the whole movie.

New York accents all done by non New Yorkers and done in the worst way, all in uniform.

Awful. NO STARS",1
A2EH0XSEH1M07_18435,"I must shamefully admit, I purchased this movie simply to gaze at Keanu's loveliness.  The man is beautiful!",3
APUHDJ6QURQIM_21736,Even by seventies standards this was pretty cheesy. Westworld (the 1970s version) was much better.,2
A1LQA5SSCA5EQE_13031,"Arriving at the planet Deneva, home of Kirk's only brother Samand his family, the U.S.S. Enterprise picks up a transmission from aDenevan pilot who has steered his craft into the sun to destroy some unknown menace.",3
A31QJSZAZYMUWI_5812,Good movie for the hole family to watch. Love it! I would recomed it any one who is looking for a good family film to see.,5
A3B2GBS56JWXRV_23243,"The film is good watching, with two outstanding sequences Laughton's and Robinson's. This disc transfer is cheap and sloppy, done from a print with scratches and damage, Worse yet the soundtrack has glitches.",3
A19RSNQGXHA56T_12196,The price was cheap. I prefer the remake still but it was nice to see the original.,3
A18A9PW784JX2Q_12200,A very good movie. I enjoy Nick Nolte.  Hard nose take no B. S. I wish I could find on Blu-ray.,4
A3AWPDBQLK3SZ8_12844,Not nearly as good as the original but I love the humor. Performances by Raymond Bur and Peter Graves are fantastic.,4
A2EO02TQOE7M5F_18646,"Good acting does hold your interest, but as someone said: ""muddled.""

Saw it on TV - have now erased it.",3
A2EEAP46EBTUSP_22497,"The progression of Mark Jameson is handled really well. The ending is a bit weak, rather anticlimactic. The Enterprise crew seem kind of background in this one, like they aren't even really needed for this episode.",3
A1Z1DLXG1IXIGK_20077,The dvd will play for 20 minutes and nothing else. Gave to son for christmas present and he lives 3 hrs away.,1
A33JDI26XKW557_4047,Daniel Day-Lewis did such an amazing job portraying Christy Brown!!!  I can't begin to fathom how he did that!  The story is full of inspiring scenes and transports you into another world.,5
A1MG1X67S4KS5U_1883,"I didn't care for the psychic portion of the movie, which was in the beginning, but otherwise I liked this movie a lot.",4
A30T1RNM8N5NP2_7920,"great episodes; great acting, real-life situations and conflict with our first female head of America.  sorry more episodes not made",5
A2RE5SECIUC5Q6_5995,Bought it as a requested gift.  Now I question the recipient's values.  My guess is that even Johnny Depp doesn't like to talk about it.,1
APB8V89BMG48Z_11178,"I tried this with my little boy but he was so bored.  He's not against educational videos and loves his Leap Frog and Sesame Street videos, but this just didn't catch and hold his attention.",2
A1ED1L5SQ0QTVZ_2994,"Not as good as the first one in my opinion. I don't like the plot of this film, it could of done a better job in regards to fighting and dialogue.",3
A14VEWYCAUVSJ1_8154,My granddaughter loves the movie.  She wants to watch it over and over.  So glad I purchased.  Hadn't seen this one before and it's most delightful.,5
A12O47TBZRD152_20313,nice delivery but hated the movie.  caant staand  myrna loy  and i couldn't wait for tyrone power to take off that turban.  wonderful special effects,2
A1LIHIG05ZT5K3_6776,A fun Steve Martin/Goldie Hawn movie. I got a good bunch of laughs and found once again that the older movies are better then todays trash.,4
A13QHW8Q3TWIBV_17513,"To phony, bad story line. I generally like time period movies of this nature. Really disappointed in this one.",2
A2M2CLFMC9FGV0_4303,The Duke John Wayne as Sargent Striker is on a whole verry well done. Another must see for WW.2 fans won't disapoint.,5
A1LS2H5IPROVRV_22060,I did not care for this movie. The filming was poor and it just wasn't what I expected from Paul Walker after seeing him in The Lazarus Project and Bobby Z.,2
AB9QRJRQ238HL_3657,"Great cast, but didn't feel the spark between Grant and Kerr nor between Mitchum and Kerr.  Have seen all of these actors in much better roles.",3
A2QJAMBJL5D6N0_21553,"A lot of noise, cursing, violence and one- dimensional idiotic characters.  A real yawner.  If you need help falling asleep.",1
AHL98CA2CJHQF_23338,Pretty close to the First Season of X-Files.  Thought it would be different.  I think it is just certain episodes in this one.,3
A15FK725RRE4J1_12976,Great movie from my younger years. Not a huge fan of Eddie Murphy but this was some of his better work,4
A25UKWVVAIQII4_23281,I think the most fun about this movie was seeing all of the actors when they were so young.  Fun!,3
AKMWA6GDCRIR6_21779,I liked it but didn't love it. I remember seeing it years ago. It is entertaining but very dated.,3
A2L7PJQFVU5VM0_11237,too long!!!!!! I slept twice during this movie. at the end I wanted to jail Kevin's character and burn the diary.,3
A1CRKP35ED8EQ4_4783,Great movie. I bought this as a gift and the recipient loved it. Great service and fast shipping.,5
A2O4J9K93WWL8V_5886,My daughter needed to watch the movie to compare it with the book. This is a great representation of a book. I'm surprised!!! Great acting.,5
ANDTY9DXK9Y4Z_6835,What an awesome movie if you read the book this movie is a little more tame than the actual read. But it is still a very entertaining the movie and you'll be quoting lines from it for years to come,5
ANGFDOSY7R38L_8756,"I did really enjoy the Little Princess.  At first, I feared it would be too kitschig but it actually was delightful.",4
A2XMSNQCP0184L_7249,"Well, it's an old JCVD movie, so it's about what you'd expect, but it we enjoyed it!",5
A31UH403U9YETF_17259,"I was surprised that this was mailed from a person, no cover or case, just in a paper, and was used. I ordered it new. The movie was fabulous and one of our favoritets.",1
A2P7YSXI060RDO_280,I bought this for our 2 year old who is learning to count.  He loves it!  It really adds to our Sesame Street collection.,5
A2OPCA28BLYUBG_21874,"This is the version you do not want.  There is another version

out there which is the one you want, but this one isn't it . Take my word for it.",1
A40SNIPBE5G81_14525,Forget the pallid film re-make; this great British series is as confusing as any Raymond Chandler plot but just as atmospheric and irresistible.,4
A2XCTX020VBAO_8483,Because Eraser is a terrific film!  I like this film due to it's performance by Arnold and Vanessa.  Nice flick!,4
AMFIOAX06DD2E_17793,"A very thin plot and barely credible ""alien"" combine to overwhelm a reasonable performance by Ms. Lords.  Production quality is solid, however.",2
A1N0LCPR7O7OLL_7343,This is a true science fiction film directed by master filmmaker Paul Verhoeven.  Arnold does some of his best acting and Sharon Stone delivers in a pivotal supporting role.  Right on par with Robocop and Starship Troopers.,5
AA5HD1VIRDBY5_5566,"Best movie of all time. Loved it since 16, '80s movies have opened up my world and still does.",5
AV1KYJXHOWPMD_16667,"This movie is even worse than number four. Take my advice and stick with the true Halloween trilogy: 1, 2, and 7.",1
A2J8GLHLTFDB1R_2965,"This movie was great, The quality of the disc was excellent, no skips, hardly any wear on disc, overall happy with this!",5
A1ARJ1NK562DQR_5643,Spielberg's best stars comedies and great blu-ray is lot better improve than DVD !! Wow audio  sound very clear !,5
A2GRQ09EIO1DE9_12349,Stupid and pathetic movie.  Couldn't make it all the way to the end.  Total waste of time.,1
A1XUVHHA0USAG1_19310,This isn't the best movie you'll ever watch but if your only reason for watching is to see  A naked Drew Barrymore you do get A little here & there,1
ADQ23KHZ6G6NQ_10224,This item arrived quickly and in good condition.  This is a good-time movie.  The music (on the VHS version) is great.,4
A1TKZYKOHX0XDZ_2489,"i thought it would get more eceiting but i was wrong, sand the two guys don't look a like at all",2
A26JOI45SLXV2_22141,I liked it better when It first came out! But not the worst movie I've ever seen!,2
A1Q6MHDUPNV6P7_20558,Read it wrong. Was not a movie like I  thought it would be. Not that interesting. I would not recommend it.,1
A1DE8QDY07IK54_23800,I was in this movie so wanted to update my VHS copy to a DVD,3
A1EM8QLRD1PIJZ_22295,I thought it would be better than the previews and friends references. not my cup of tea,3
A1M4YH3KTC415S_23553,Funny and entertaining.  The narration adds a lot of funny commentary and makes the movie much more entertaining. Fun time,3
A2B6OOX5ZF4RCY_2758,"I had seen this on TV and liked it. So, I wanted a copy for my collection. It is enjoyable and meaningful.",5
A20DGEKP60IGVP_2432,"I watched this movie when I was a kid,and i watched it again now, It is an amazing movie, so touching and with a great message. Jude Law is an amazing actor!",5
AR1H7OTQU30OT_11190,What can I say she loved it just as much now as she did when it came out way back when.,4
A2YG20EL0CP607_19178,"WOW, poppy cock right from the start. Bad editing, acting, cut scenes..  It looks like it was put together by middle school students using a iphone and imovie.",1
A65GUVCKEE1OQ_9993,"I remember when it first came out back in the early 80's, still fun to watch though it seemed longer this time. I forgot how much was in it. Still classic lines and shot, still fun to watch.",4
A2Q9A0I50T1EDG_1874,Now ...this is the REAL Annie...we love this movie and would watch it over and over...so good and makes you want to sing over and over....,5
A1KALHQD4LWAKO_16671,"This fifth movie in the Halloween series follows events featured in the fourth Hallowween movie.  Watching this, one gets the feeling that the franchise is getting old and those at the helm are running out of ideas.
Rental only.",3
A3JLA4JQ4LBL75_7512,"I purchased this for my daughter because she's a Stitch fan, she loved this movie & she watches it over and over again.",5
A3Q1YR1YAM8OHT_300,"I ordered this for my grands, ages 6 & 7 and they love it!  Thank you for creating the instant purchase.  It filled a ""snow day"".",5
AIX3SA5X9FFJD_18787,"I only bought this for the first 20 mins. of Cosby's performance, which I showed often to my DUI program clients.",3
A2VK34NFLD4EK4_9360,It was a great movie all the way through until the end....I think they could have handled that better.  It wasn't very believable and kind of ruined the whole movie for me.,3
A3JRVV76ITC27B_19099,I didn't remember how truly stupid and lame this was... must've had some internal happiness going on when I saw it years ago,2
A1WO2FSLV6DL6X_18520,"Probably the worst of the 70's super-hero / pro-wrestling Godzilla movies, but it does have a few good moments.",2
A18CPCA8JQ6O9C_11068,"excellent tv show to watch, great price, came in no time, full of adventure and action, always  something new going on",4
A39XRJKNVJ67KP_13415,Entertaining but not at the level of the classics such as Forbidden Planet or War of the Worlds.  Had not seen it in years and still enjoyed the build up and ending.,4
A2LJII1IA963PR_19987,This movie is very poorly directed because who murders his own mother by poisoning. On the whole I give two stars.,2
A1YMPN984KO6N1_833,"Excellent movie. Best yet.  Have always loved movies and music. This is the best!
Thanks You always for giving me this.",5
ACP9MSP3V4IBZ_14752,Loved the music. Brought back memories from many years ago when we saw it live on stage and it was magic.,4
A1X4SSMTOINQJJ_6590,This movie is amazing . So much like real life .  All the actors and actresses were excellent.,5
A1G4FVZQ9PNS1Y_905,Tear Jerker! Sally Field never fails to deliver a phenomenal performance! The cast of actors worked well together. The movie left you wanting more.,5
A25SJF6W7G6RM_3538,I was disappointed that this was not being shown at Christmas so I bought my own!  I was pleasantly surprised that it includes the black/white version AND  a digitally colored version!,5
A3S9IQU1N057AC_21990,this is a british made film and NOT the Madmax Beyond Thunderdome with tina turner and mel gibson..  boring and stupid.  changed it after 10 mins.,1
A1VSS9WFEEL1P2_16646,"Hard to imagine how a woman falls in love on a rickety boat with a man who refers to her as "" old girl"", nonetheless she does, and it's a good story.",4
A3U8J6HOIYKIFM_8868,Purchased as a gift and daughter was very appreciative and thoroiughly enjoyed the movie. Viven Leligh was given excellent ratings for her performance.,4
ALOZONQ4AK4SQ_18846,"I cannot use this on my DVD in my computer...... The DVD doesn't even recognize the DVD in my computer....

However, for some reason, I can run it on a self-contained DVD player.

What's up with that?????",3
A6N70B0B6O8XE_17526,Try as I might I just never rated Predator 2 and seeing it again recently confirmed it. A decent actioner type movie but really doesn't hold a candle to the first one. I thought Predators was actually better than this.,3
AGUW57SSNR9HJ_12081,"I really liked it when I was five years old. I haven't seen it since then, but I suspect that the special effects will leave today's five year olgs cold.",3
A2TJUCQ93KXB69_3947,really like the first one and got it fast but the quality wasn't much better than the dvd but it  will do,4
A3E750R9HRRER_10031,"While I'm a fan of Robert Mitchum's and can take John Wayne in some roles, this movie just didn't make the grade. The writing is very bad, the directing is mediocre and the acting is sub par.",2
A3V027XWGWVK5S_5252,Great Movie!! As usual Patrick Swayze is great in this like all of his movies. Action packed. Can watch over and over.,5
AP12PPXH0KEHT_18353,"It's OK...longtime since we saw it for the first time, just a good low-action, semi-non-violent film with a non-English Robin Hood.",3
A3AQG271VCKWX5_637,"The Spice Girls, what more can you say, beautiful, bold, funny, this film is so fun to watch, I love these girls.",5
AYVKLGQEFI4BY_4229,Interesting rendition of a needless battle.  Captures the conditions of the Eastern Front in winter very well.  Recommend for a WWII student.,4
AMNCE4OZJ0QJO_23016,"I looked forward to this movie. What a waste, I should have waited until it was free, then I wouldn't be so disappointed. All star cast; terribly written.",1
A2LUP7T9YAE3JK_21943,"I may be tained by watching the latest Mad Max remake, but I did not see much in this film....I don't think it is standing the test of time.",2
A33606ENKITHQI_23421,It's a little slow and a little confusing on all the characters. You have to keep watching to get an idea of who is who. It was ok.,3
A2XA5D430GGPQK_6720,"I really enjoyed this Black Lagoon collection.  I have never seen the second and third movies, only the first.  They are all really good and I had a great time watching the old b/w monster movies.  I recommend this collection.",4
A3592O1XXT8UCJ_17545,"This movie was just to vioent for me, and I did not watch the whole thing, not a good one for children at all.",1
A2ZJHEB8K8JZR3_13281,didn't like this at all but gave it a two star because i know there is worse out there.,2
A19IIOQVJSZ12S_8526,Saw it 40 year ago. Am appearing in a videi playing a cukkoo. I felt this was the best training.,4
A2W6MUK5KT1AIK_15038,"This is a good story about probably something very real, then and now.  You never know who your friends and enemies are  !!!",4
A5V1EF2BNERO9_2123,"I GOT THIS AFTER SEEING IT ON TV. BUT BE SURE TO GET THIS ONE, THE REMAKE ISN'T AS GOOD.
THIS IS INDEED A CLASSIC WORTH ADDING TO YOUR COLLECTION",5
A2OOYYM923NPHK_22972,"Meh.  As a teacher, I picked this title in order to be inspired.  I wasn't. ""Stand and Deliver"" is far more real life and inspirational.",2
A2EN1VJCBNW42M_4458,"A movie with a positive message.  Well acted, lovely visuals.  Great plot.  A nice pick-me-up on a down day.",5
A2YZV7INQ1QYZ7_10517,"Good action movie from Michael Mann, didn't like the ending; it didn't fit with what Caan could do ...still, real good ... sammy",4
A1K4YPUZCCHGVV_15087,This is the way it should be with these movies.  Less graphic blood and gore and more clean entertainment for the family.,4
A240JVH418BHUX_3099,"I could not find this movie on DVD anywhere, I found it on Amazon!
Good price, easy shopping! Love shopping thru Amazonand you can find lots of stuff.",5
A1L33YH4CYM1HR_10332,This movie was long and dumb.  The kids liked it but man it sure doesn't hold up well.,2
A1W67FO0GE6NMG_42,"This is a different spin on the classic ""The Christmas Carol"".  It is nice, and you might want to add it to you Christmas collection.",4
A1MLBDG26ERRX0_23333,I don't how this is listed for 900.00... When I've seen it for 200.00 and under. This is some serious price gouging,1
A3B8ND8MBKO77O_7694,Just a wonderful classic!  I watch it every so often to just to believe in the best of people and love does happen. S,5
A1U6NRB7P3CN87_19411,Disc would not play on any of my 3 DVD players.  I have been told this is a common thing on some movie disc.,1
A2PS9J0GFLK4ET_19650,The jokes are really dates. It was absolutely hilarious when it first came out though.,2
A339NZQKH84XZG_8303,This is the classic tale of Cinderella and her jealous step-sisters.  The music is great and it is a nice story for young children.  Everyone should have a fair god-mother!  Or at least dream about one!,5
A2OQA3RC6DHRHK_14964,"this had to be the worst musical of such a great show! Lucille Ball was totally horrible as
""Mame"" and could not sing at all!",1
A269L4HZS8WI7C_2854,"Well paced, salacious initially then spiritual. Quite the narrative and surprisingly touching. I'm not a religious person but I still was able to appreciate the message. Mimi was excellent.",5
A20NUW4T1DB7UQ_15542,"It is a little dated and overly familiar, but still just as wonderful as you remember it.  Really worth watching again.",4
AQZC4ZSAHQCOP_5321,"The one that finally got him the Oscar.  So worth watching, Katherine Hepburn is always good.  Glad to have it.",5
A13AGFW1VG89LD_593,Great Movie love to watch it over and over.  Can't go wrong with Harrison Ford in the lead role .,5
APR1FT2Y9ZB5A_13429,Cheesy special effects...not really well done at all.  Did not follow the book.  I could not watch it all the way through.,2
A3B32IVWOM2JBW_7916,I would say I enjoyed part two every bit as much as I did part one. I wish they had A Part three.,5
A3K4DNWUPS3ECJ_5330,This movie came in great condition and it didn't take very long to recieve it and if you haven't seen this movie than you are not a John Wayne fan,5
A1NO1YKHN41S1F_21408,"I never realized before what a limited, wooden actor Paul Newman was back in the early 1960's. Luckily, he improved with aged; he was excellent in ""The Verdict"".",1
A3ACZSI60RZXXK_10679,This movie just got worse and worsedisgusting reallythere were a few actually funny partsbut the rest was sick humor and just gross.  And really dumb!,1
ALHORMFNOM9RH_16098,Liked It Better Than The First One. Mainly For Jan MacKenzie. Boy Is She Smokin Hot. It Didnt cost Much. Definatley Worth It for Jan Alone.,4
A3U15A3HJKJ9PW_9074,"One of Albert Brooks classics. Great supporting cast as well.

Also watch Lost In America.",4
A1GZO3R01DSD8A_3165,glad to have it -- I hadn't seen it for a long time -- since a film class -- and it's still just as gripping as ever.  Friends are eager to see it -- sometimes classics are just  the best.,4
A26NECI2KRMQHG_9872,If you like the classics this one is sure to please. It is John Wayne at his best with a great support cast.,4
AILV4CXK8LEBV_19725,"as much as I like Robin Williams, this movie did nothing for me.  It seemed to spin in an pointless loop.  Even the end left me hanging.",2
AF3X7J0XC391L_12005,An moving account of friendship and vengeance.  Disturbing in its ending yet deeply moving and touching in the buildup.  Certainly not suitable for all audiences.,4
A33ENJGEER9S81_20881,"Too many villains, too little plot. The Cybermen should've been the only villains and they should've been more formidable. Further, the plot was reminiscent of ""Remembrance Of The Daleks."" A complete waste of time all around.",1
A17SZSI44O7NMV_12547,"This has a totally different screen play as the book which is disappointing. Nevertheless, the movie is entertaining and Jimmy Stewart is ... well Jimmy Stewart.",4
AFGW6I6A4WTNG_11385,"great monster scenes when they're in the cave with neptunes son! goes with the seventh voyage of Sinbad,great flick all ray harryhausen fans will love this one!",4
A35GUTA9XOXS6L_18326,Bought this film because of Alan Rickman. Many other good performances in this film but Kevin Costner isn't one of them.,3
A2B9NGZPJRM3BG_23878,"which is amazing, given the talent assembled. This is quite possibly the worst movie offered by Amazon, and Amazon offers some real stinkers. Really embarrassingly bad.",1
A1FZL5J1VSSZMJ_1263,It's funny but this is the least of my favorites of Wes Anderson movies. It's an early one of his work. It has his humor and worth seeing but there's better ones of his movies out there!!,3
AIADQ7JIACX4X_18797,"If you're in the mood for a bit of silliness and cuteness, a pretty good choice.",3
A2KFGRNZSPB55U_6651,This is one of those movies I just never got around to watching...incredible movie! Kevin Spacey is one of the best actors on earth!!,5
A34W1S0FGFVQ9K_20340,I thought the product was exactly what I needed at the time that I purchased it and the purchase process was smooth and efficient.,3
A30RKVJIDUNXZ6_11944,This was a good movie with morals which does not happen enough these days.  I would recommend this DVD for adults and teens.,4
AJUT5IQDSDU6J_1073,very good very wonderful,5
A4GJZTCFHGRRC_15801,"I've been a Tom Berringer fan since ""The Big Chill"" and Sidney Poitier is always great. Maybe not the best of movies but I thought it was enjoyable.",4
A4ST72QPWRW0F_14989,It was funny but just an okay rating It had good actors. It was enjoyable to those who have not seen it but I remember it being funnier the first time I seen it.,3
A195G63HIIA3DS_19162,"I Loved the product. It took longer than I expected but never the less, I'm satisfied.",3
A2V7RQAB2JJBLD_21923,Really should caution buyers it's not rated for any type of family viewing. I threw it away!,1
ADYY6PI1PLEFC_18282,Hideous an unnecessary mistreatment of animals. Savage cruelty just for the making of a film. It's abuses led to major changes in the way animals were treated in filmmaking but you get to watch terrible abuse in this film.,1
A3N586EGGJBCGE_3650,One of Greatest Movies for Christmas! Donna Reed and James Stewart plus many wonderful characters make it great.,5
A3EUVLDJQJZPTM_15710,"The item shipped very quickly, and I am very satisfied with my purchase, and I would recommend this item to a friend.",4
A153NZD2WZN5S3_20641,"It is an educative doco of  t h e n  Italian Mafia in the States.

As any doco it is worth to be watched by liking a topic at first stage.",3
A95A9XOSHTQKX_14633,"We watched this tonight.  It's Hollywood and too cute - the villans, everybody has terrible aim, plot holes galore.  If you put that aside it's an enjoyable fun movie.",4
AFU8Q0K8UR1Z4_11587,"Good acting - Henry Fonda, Richard Widmark, Anthony Quinn, etc. But no actual heroes, no one really wins, everyone seems to lose. A strange western. Nothing special about it really.",3
A11F60W72FUBH8_6205,The DVD arrived on schedule and was in excellent condition as advertised. Product played as advertised.,5
A3GSQBNE4O9Y5E_19426,I am a collector of Michael Moore's documentaries but I try to keep my ratings unbiased.  Moore has made some great movies and some not so outstanding.,3
A28ECX1XIIOC7H_19941,"Although there is a great cast and good acting, the movie is more depressing than ""On the Beach"". Definitely a watch once and discard.",2
A9LOS31C3AP3E_9519,It was an interesting movie that had a lessons on a missing person (grandma) & amnesia. My grandsons enjoyed it but my husband says it was a one time view for him - until next Dec.,4
A42GFMF12V7XR_20129,"Forget these Public Domain DVDs, buy the Lionsgate DVD box set mastered from 35mm.<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/The-Alfred-Hitchcock-Box-Set-The-Ring-The-Manxman-Murder-The-Skin-Game-Rich-and-Strange/dp/B000KJU12S/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">The Alfred Hitchcock Box Set (The Ring / The Manxman / Murder! / The Skin Game / Rich and Strange)</a>",3
A3EWVLQ7O8CXU9_12905,Still a fun ride after all these years. The glass knight shows the age of this movie and some scenes lookma bit too much like the second Indy movie but worth the watch,4
AGPYI29TKEYI_15942,"Good story line but way too much profanity. Would not recommend for family entertainment. Would not have purchased had I realized how often the ""f"" bomb would be used.",2
